"","Stat","Base.Damage","200","205","210","215","220","225","230","235","240","245","250","255","260","265","270","275","280","285","290","295","300"
"50","50",500,250,243,237,231,225,218,212,206,200,193,187,181,175,168,162,156,150,143,137,131,125
"55","55",550,275,268,261,254,247,240,233,226,220,213,206,199,192,185,178,171,165,158,151,144,137
"60","60",600,300,292,285,277,270,262,255,247,240,232,225,217,210,202,195,187,180,172,165,157,150
"65","65",650,325,316,308,300,292,284,276,268,260,251,243,235,227,219,211,203,195,186,178,170,162
"70","70",700,350,341,332,323,314,306,297,288,280,271,262,253,245,236,227,218,210,201,192,183,175
"75","75",750,375,365,356,346,337,328,318,309,300,290,281,271,262,253,243,234,225,215,206,196,187
"80","80",800,400,390,380,370,359,350,340,330,320,309,300,290,280,270,260,250,240,230,220,210,200
"85","85",850,425,414,403,393,382,371,361,350,340,329,318,308,297,286,276,265,255,244,233,223,212
"90","90",900,450,438,427,416,404,393,382,371,360,348,337,326,315,303,292,281,270,258,247,236,225
"95","95",950,475,463,451,439,427,415,403,391,380,368,356,344,332,320,308,296,285,273,261,249,237
"100","100",1000,500,487,475,462,450,437,425,412,400,387,375,362,350,337,325,312,300,287,275,262,250
"105","105",1150,575,560,546,531,517,503,488,474,460,445,431,416,402,388,373,359,345,330,316,301,287
"110","110",1300,650,633,617,601,584,568,552,536,520,503,487,471,455,438,422,406,390,373,357,341,325
"115","115",1450,725,706,688,670,652,634,616,598,580,561,543,525,507,489,471,453,435,416,398,380,362
"120","120",1600,800,780,760,740,719,700,680,660,640,619,600,580,560,540,520,500,480,460,440,420,400
"125","125",1750,875,853,831,809,787,765,743,721,700,678,656,634,612,590,568,546,525,503,481,459,437
"130","130",1900,950,926,902,878,855,831,807,783,760,736,712,688,665,641,617,593,570,546,522,498,475
"135","135",2050,1025,999,973,948,922,896,871,845,820,794,768,743,717,691,666,640,615,589,563,538,512
"140","140",2200,1100,1072,1045,1017,990,962,935,907,880,852,825,797,770,742,715,687,660,632,605,577,550
"145","145",2350,1175,1145,1116,1086,1057,1028,998,969,940,910,881,851,822,793,763,734,705,675,646,616,587
"150","150",2500,1250,1218,1187,1156,1125,1093,1062,1031,1000,968,937,906,875,843,812,781,750,718,687,656,625
"155","155",2650,1325,1291,1258,1225,1192,1159,1126,1093,1060,1026,993,960,927,894,861,828,795,761,728,695,662
"160","160",2800,1400,1365,1330,1295,1259,1225,1190,1155,1120,1084,1050,1015,980,945,909,875,840,805,770,735,700
"165","165",2950,1475,1438,1401,1364,1327,1290,1253,1216,1180,1143,1106,1069,1032,995,958,921,885,848,811,774,737
"170","170",3100,1550,1511,1472,1433,1394,1356,1317,1278,1240,1201,1162,1123,1085,1046,1007,968,930,891,852,813,775
"175","175",3250,1625,1584,1543,1503,1462,1421,1381,1340,1300,1259,1218,1178,1137,1096,1056,1015,975,934,893,853,812
"180","180",3400,1700,1657,1615,1572,1529,1487,1445,1402,1360,1317,1275,1232,1190,1147,1105,1062,1020,977,935,892,850
