"","Stat","Base.Damage","50","55","60","65","70","75","80","85","90","95"
"50","50",500,437,431,425,418,412,406,400,393,387,381
"55","55",550,481,474,467,460,453,446,440,433,426,419
"60","60",600,525,517,510,502,495,487,480,472,465,457
"65","65",650,568,560,552,544,536,528,520,511,503,495
"70","70",700,612,603,595,586,577,568,560,551,542,533
"75","75",750,656,646,637,628,618,609,600,590,581,571
"80","80",800,700,690,680,670,660,650,640,630,620,610
"85","85",850,743,733,722,711,701,690,680,669,658,648
"90","90",900,787,776,765,753,742,731,720,708,697,686
"95","95",950,831,819,807,795,783,771,760,748,736,724
"100","100",1000,875,862,850,837,825,812,800,787,775,762
"105","105",1150,1006,991,977,963,948,934,920,905,891,876
"110","110",1300,1137,1121,1105,1088,1072,1056,1040,1023,1007,991
"115","115",1450,1268,1250,1232,1214,1196,1178,1160,1141,1123,1105
"120","120",1600,1400,1380,1360,1340,1320,1300,1280,1260,1240,1220
"125","125",1750,1531,1509,1487,1465,1443,1421,1400,1378,1356,1334
"130","130",1900,1662,1638,1615,1591,1567,1543,1520,1496,1472,1448
"135","135",2050,1793,1768,1742,1716,1691,1665,1640,1614,1588,1563
"140","140",2200,1925,1897,1870,1842,1815,1787,1760,1732,1705,1677
"145","145",2350,2056,2026,1997,1968,1938,1909,1880,1850,1821,1791
"150","150",2500,2187,2156,2125,2093,2062,2031,2000,1968,1937,1906
"155","155",2650,2318,2285,2252,2219,2186,2153,2120,2086,2053,2020
"160","160",2800,2450,2415,2380,2345,2310,2275,2240,2205,2170,2135
"165","165",2950,2581,2544,2507,2470,2433,2396,2360,2323,2286,2249
"170","170",3100,2712,2673,2635,2596,2557,2518,2480,2441,2402,2363
"175","175",3250,2843,2803,2762,2721,2681,2640,2600,2559,2518,2478
"180","180",3400,2975,2932,2890,2847,2805,2762,2720,2677,2635,2592
"185","185",3550,3106,3061,3017,2973,2928,2884,2840,2795,2751,2706
"190","190",3700,3237,3191,3145,3098,3052,3006,2960,2913,2867,2821
"195","195",3850,3368,3320,3272,3224,3176,3128,3080,3031,2983,2935
"200","200",4000,3500,3450,3400,3350,3300,3250,3200,3150,3100,3050
"205","205",4300,3762,3708,3655,3601,3547,3493,3440,3386,3332,3278
"210","210",4600,4025,3967,3910,3852,3795,3737,3680,3622,3565,3507
"215","215",4900,4287,4226,4165,4103,4042,3981,3920,3858,3797,3736
"220","220",5200,4550,4485,4420,4355,4290,4225,4160,4095,4030,3965
"225","225",5500,4812,4743,4675,4606,4537,4468,4400,4331,4262,4193
"230","230",5800,5075,5002,4930,4857,4785,4712,4640,4567,4495,4422
"235","235",6100,5337,5261,5185,5108,5032,4956,4880,4803,4727,4651
"240","240",6400,5600,5520,5440,5360,5280,5200,5120,5040,4960,4880
"245","245",6700,5862,5778,5695,5611,5527,5443,5360,5276,5192,5108
"250","250",7000,6125,6037,5950,5862,5775,5687,5600,5512,5425,5337
"255","255",7300,6387,6296,6205,6113,6022,5931,5840,5748,5657,5566
"260","260",7600,6650,6555,6460,6365,6270,6175,6080,5985,5890,5795
"265","265",7900,6912,6813,6715,6616,6517,6418,6320,6221,6122,6023
"270","270",8200,7175,7072,6970,6867,6765,6662,6560,6457,6355,6252
"275","275",8500,7437,7331,7225,7118,7012,6906,6800,6693,6587,6481
"280","280",8800,7700,7590,7480,7370,7260,7150,7040,6930,6820,6710
"285","285",9100,7962,7848,7735,7621,7507,7393,7280,7166,7052,6938
"290","290",9400,8225,8107,7990,7872,7755,7637,7520,7402,7285,7167
"295","295",9700,8487,8366,8245,8123,8002,7881,7760,7638,7517,7396
"300","300",10000,8750,8625,8500,8375,8250,8125,8000,7875,7750,7625
